,"消費者物價基本分類暨項目群指數",
,,,,,,,,"指數基期：民國110年=100"
"統計期","總指數","一.食物類","二.衣著類","三.居住類","四.交通及通訊類","五.醫藥保健類","六.教養娛樂類","七.雜項類"
"104年5月",94.07,87.56,100.76,96.50,98.32,94.36,98.07,90.44
"104年6月",94.72,88.41,98.48,97.88,98.07,94.57,98.77,90.82
"104年7月",94.62,88.06,95.68,98.03,97.67,94.71,99.86,90.14
"104年8月",95.21,91.06,93.09,98.00,96.58,94.70,99.67,90.23
"104年9月",95.87,94.21,92.21,97.95,95.86,94.98,98.67,90.57
"104年10月",95.95,94.42,104.61,96.38,96.38,94.89,98.66,89.53
"104年11月",95.29,92.99,102.35,96.49,95.51,94.84,97.74,90.33
"104年12月",94.58,91.40,99.60,96.51,94.42,95.06,97.53,90.65
"105年",95.86,94.56,97.75,96.48,95.57,95.49,98.53,91.89
"105年1月",94.05,90.86,95.37,96.37,93.26,95.00,97.55,90.20
"105年2月",95.88,94.65,92.33,96.37,93.55,95.02,100.12,95.18
"105年3月",95.29,94.61,91.41,96.40,94.47,95.26,97.65,91.36
"105年4月",95.60,94.35,102.61,95.70,94.86,95.64,98.27,91.41
"105年5月",95.23,92.66,100.79,95.71,96.12,95.44,98.20,91.91
"105年6月",95.57,92.44,98.43,97.15,96.64,95.49,98.24,92.30
"105年7月",95.79,92.92,96.02,97.21,96.42,95.42,99.66,91.74
"105年8月",95.75,93.44,94.12,97.21,95.96,95.65,99.35,91.62
"105年9月",96.19,95.03,93.44,97.28,96.07,95.56,98.78,92.31
"105年10月",97.58,99.36,105.49,96.08,96.68,95.68,98.84,91.36
"105年11月",97.17,98.95,102.73,96.13,95.98,95.86,97.89,91.59
"105年12月",96.18,95.47,100.21,96.13,96.87,95.89,97.79,91.72
"106年",96.45,94.21,97.51,97.31,97.31,97.12,98.82,93.64
"106年1月",96.16,93.56,95.52,96.38,97.65,95.93,99.32,95.43
"106年2月",95.82,93.93,92.57,96.43,97.48,96.28,98.64,92.26
"106年3月",95.46,92.98,91.77,96.59,97.17,96.63,98.10,92.52
"106年4月",95.69,92.08,101.78,96.62,97.10,97.04,98.51,93.20
"106年5月",95.80,92.62,100.54,96.65,96.69,97.35,98.48,93.56
"106年6月",96.53,94.47,98.77,98.07,96.23,97.40,98.76,92.33
"106年7月",96.53,94.06,95.98,98.08,96.52,97.40,99.97,92.26
"106年8月",96.67,94.69,92.92,98.27,96.94,97.46,99.71,92.25
"106年9月",96.66,94.83,92.26,98.46,97.16,97.56,98.64,93.07
"106年10月",97.26,95.51,104.95,97.32,97.79,97.43,98.96,94.35
"106年11月",97.50,96.30,102.61,97.41,98.43,97.45,98.22,95.56
"106年12月",97.35,95.53,100.47,97.40,98.51,97.56,98.48,96.87
"107年",97.76,95.15,97.79,98.20,99.51,98.15,99.04,98.08
"107年1月",97.02,94.33,97.31,97.38,99.26,97.63,97.88,97.34
"107年2月",97.93,94.84,94.25,97.46,99.68,97.90,100.44,100.50
"107年3月",96.98,94.20,93.39,97.52,98.99,97.89,98.42,97.99
"107年4月",97.61,94.57,101.83,97.59,99.32,98.08,98.74,98.28
"107年5月",97.48,94.27,100.02,97.76,99.19,97.63,98.67,98.45
"107年6月",97.88,94.35,98.41,98.98,99.56,98.14,99.26,98.61
"107年7月",98.22,94.91,96.24,99.00,100.73,98.50,100.46,98.14
"107年8月",98.16,95.41,94.25,99.08,100.66,98.56,100.27,97.60
"107年9月",98.32,97.18,93.97,99.21,99.95,98.47,98.94,97.79
"107年10月",98.39,96.93,103.05,98.17,100.22,98.38,99.06,97.10
"107年11月",97.78,95.85,101.48,98.14,99.07,98.32,98.10,97.39
"107年12月",97.29,94.93,99.28,98.10,97.50,98.24,98.29,97.78
"108年",98.30,96.96,97.08,98.81,98.07,98.98,99.78,98.65
"108年1月",97.19,95.09,95.73,98.02,97.69,98.51,98.24,97.83
"108年2月",98.14,95.65,92.97,98.29,98.26,98.61,100.52,100.91
"108年3月",97.52,95.57,92.79,98.40,98.25,98.92,98.65,98.52
"108年4月",98.25,95.85,99.90,98.50,99.09,98.72,99.93,98.61
"108年5月",98.39,96.70,98.98,98.63,99.07,98.54,99.67,98.54
"108年6月",98.71,97.50,97.02,99.62,98.37,98.85,100.16,98.67
"108年7月",98.60,96.50,95.07,99.55,99.37,99.06,101.13,98.25
"108年8月",98.58,97.65,93.49,99.54,98.20,99.35,100.62,98.37
"108年9月",98.73,99.08,93.10,99.57,97.23,99.36,99.82,98.90
